trial_id,rep,crop,variety,yield_part,yield,yield_moisture,yield_isfresh,dataset_id,record_id,on_farm,is_survey,country,location,longitude,latitude,geo_from_source,elevation,planting_date,harvest_date,N_fertilizer,P_fertilizer,K_fertilizer,irrigated
PTYL200910,1,potato,CIP392657.8,tubers,15740.7407407407,,TRUE,doi_10.21223_FBZ6JS,45,FALSE,FALSE,Kenya,kibrch,37.5166,0.1,TRUE,2275,2009-10-25,2010-02-16,,,,
PTYL200910,2,potato,CIP392657.8,tubers,23148.1481481482,,TRUE,doi_10.21223_FBZ6JS,46,FALSE,FALSE,Kenya,kibrch,37.5166,0.1,TRUE,2275,2009-10-25,2010-02-16,,,,
PTYL200910,3,potato,CIP392657.8,tubers,29629.6296296296,,TRUE,doi_10.21223_FBZ6JS,47,FALSE,FALSE,Kenya,kibrch,37.5166,0.1,TRUE,2275,2009-10-25,2010-02-16,,,,
PTYL200910,4,potato,CIP392657.8,tubers,23148.1481481482,,TRUE,doi_10.21223_FBZ6JS,48,FALSE,FALSE,Kenya,kibrch,37.5166,0.1,TRUE,2275,2009-10-25,2010-02-16,,,,
PTYL200910,1,potato,CIP393371.58,tubers,25000,,TRUE,doi_10.21223_FBZ6JS,49,FALSE,FALSE,Kenya,kibrch,37.5166,0.1,TRUE,2275,2009-10-25,2010-02-16,,,,
PTYL200910,2,potato,CIP393371.58,tubers,19444.4444444444,,TRUE,doi_10.21223_FBZ6JS,50,FALSE,FALSE,Kenya,kibrch,37.5166,0.1,TRUE,2275,2009-10-25,2010-02-16,,,,
PTYL200910,3,potato,CIP393371.58,tubers,27777.7777777778,,TRUE,doi_10.21223_FBZ6JS,51,FALSE,FALSE,Kenya,kibrch,37.5166,0.1,TRUE,2275,2009-10-25,2010-02-16,,,,
PTYL200910,4,potato,CIP393371.58,tubers,18518.5185185185,,TRUE,doi_10.21223_FBZ6JS,52,FALSE,FALSE,Kenya,kibrch,37.5166,0.1,TRUE,2275,2009-10-25,2010-02-16,,,,
PTYL200910,1,potato,CIP393385.39,tubers,20370.3703703704,,TRUE,doi_10.21223_FBZ6JS,53,FALSE,FALSE,Kenya,kibrch,37.5166,0.1,TRUE,2275,2009-10-25,2010-02-16,,,,
PTYL200910,2,potato,CIP393385.39,tubers,20370.3703703704,,TRUE,doi_10.21223_FBZ6JS,54,FALSE,FALSE,Kenya,kibrch,37.5166,0.1,TRUE,2275,2009-10-25,2010-02-16,,,,
PTYL200910,3,potato,CIP393385.39,tubers,29629.6296296296,,TRUE,doi_10.21223_FBZ6JS,55,FALSE,FALSE,Kenya,kibrch,37.5166,0.1,TRUE,2275,2009-10-25,2010-02-16,,,,
PTYL200910,4,potato,CIP393385.39,tubers,22222.2222222222,,TRUE,doi_10.21223_FBZ6JS,56,FALSE,FALSE,Kenya,kibrch,37.5166,0.1,TRUE,2275,2009-10-25,2010-02-16,,,,
PTYL200910,1,potato,Dutch,tubers,16666.6666666667,,TRUE,doi_10.21223_FBZ6JS,57,FALSE,FALSE,Kenya,kibrch,37.5166,0.1,TRUE,2275,2009-10-25,2010-02-16,,,,
PTYL200910,2,potato,Dutch,tubers,18518.5185185185,,TRUE,doi_10.21223_FBZ6JS,58,FALSE,FALSE,Kenya,kibrch,37.5166,0.1,TRUE,2275,2009-10-25,2010-02-16,,,,
PTYL200910,3,potato,Dutch,tubers,25000,,TRUE,doi_10.21223_FBZ6JS,59,FALSE,FALSE,Kenya,kibrch,37.5166,0.1,TRUE,2275,2009-10-25,2010-02-16,,,,
PTYL200910,4,potato,Dutch,tubers,22222.2222222222,,TRUE,doi_10.21223_FBZ6JS,60,FALSE,FALSE,Kenya,kibrch,37.5166,0.1,TRUE,2275,2009-10-25,2010-02-16,,,,
PTYL200910,1,potato,CIP381381.13,tubers,15740.7407407407,,TRUE,doi_10.21223_FBZ6JS,61,FALSE,FALSE,Kenya,kibrch,37.5166,0.1,TRUE,2275,2009-10-25,2010-02-16,,,,
