trial_id,plot_id,rep,crop,variety,yield_part,yield,yield_moisture,yield_isfresh,yield_marketable,dataset_id,record_id,on_farm,is_survey,country,location,longitude,latitude,geo_from_source,planting_date,harvest_date,N_fertilizer,P_fertilizer,K_fertilizer,irrigated
MXKUIK_Chugay_2019-2020,106,1,potato,CIP395123.6,tubers,47088.2581294964,,TRUE,43817.3076258993,doi_10.21223_MXKUIK,42,TRUE,FALSE,Peru,Chugay,,,FALSE,,,,,,
MXKUIK_Chugay_2019-2020,107,1,potato,CIP396036.201,tubers,75839.3316891892,,TRUE,71744.7780405405,doi_10.21223_MXKUIK,43,TRUE,FALSE,Peru,Chugay,,,FALSE,,,,,,
MXKUIK_Chugay_2019-2020,108,1,potato,CIP392650.12,tubers,60806.0586,,TRUE,52726.1394,doi_10.21223_MXKUIK,44,TRUE,FALSE,Peru,Chugay,,,FALSE,,,,,,
MXKUIK_Chugay_2019-2020,109,1,potato,CIP391058.175,tubers,34899.651,,TRUE,25808.6308,doi_10.21223_MXKUIK,45,TRUE,FALSE,Peru,Chugay,,,FALSE,,,,,,
MXKUIK_Chugay_2019-2020,110,1,potato,CIP393077.159,tubers,58265.6365771812,,TRUE,48097.9530201342,doi_10.21223_MXKUIK,46,TRUE,FALSE,Peru,Chugay,,,FALSE,,,,,,
MXKUIK_Chugay_2019-2020,111,1,potato,Canchan,tubers,40199.598,,TRUE,33432.999,doi_10.21223_MXKUIK,47,TRUE,FALSE,Peru,Chugay,,,FALSE,,,,,,
MXKUIK_Chugay_2019-2020,112,1,potato,CIP396034.103,tubers,58036.9783098592,,TRUE,46727.2322535211,doi_10.21223_MXKUIK,48,TRUE,FALSE,Peru,Chugay,,,FALSE,,,,,,
MXKUIK_Chugay_2019-2020,201,2,potato,CIP392650.12,tubers,60500.513557047,,TRUE,50332.83,doi_10.21223_MXKUIK,49,TRUE,FALSE,Peru,Chugay,,,FALSE,,,,,,
MXKUIK_Chugay_2019-2020,202,2,potato,CIP391046.14,tubers,25566.8739583333,,TRUE,19990.5408333333,doi_10.21223_MXKUIK,50,TRUE,FALSE,Peru,Chugay,,,FALSE,,,,,,
MXKUIK_Chugay_2019-2020,203,2,potato,CIP391058.175,tubers,39310.4177027027,,TRUE,25797.0393243243,doi_10.21223_MXKUIK,51,TRUE,FALSE,Peru,Chugay,,,FALSE,,,,,,
MXKUIK_Chugay_2019-2020,204,2,potato,CIP395123.6,tubers,44936.0585714286,,TRUE,38752.4469387755,doi_10.21223_MXKUIK,52,TRUE,FALSE,Peru,Chugay,,,FALSE,,,,,,
MXKUIK_Chugay_2019-2020,205,2,potato,Canchan,tubers,40806.2586,,TRUE,34746.3192,doi_10.21223_MXKUIK,53,TRUE,FALSE,Peru,Chugay,,,FALSE,,,,,,
MXKUIK_Chugay_2019-2020,206,2,potato,CIP396026.101,tubers,61925.5552348993,,TRUE,57858.4818120805,doi_10.21223_MXKUIK,54,TRUE,FALSE,Peru,Chugay,,,FALSE,,,,,,
MXKUIK_Chugay_2019-2020,207,2,potato,CIP396036.201,tubers,72891.162972973,,TRUE,71765.0481081081,doi_10.21223_MXKUIK,55,TRUE,FALSE,Peru,Chugay,,,FALSE,,,,,,
MXKUIK_Chugay_2019-2020,208,2,potato,CIP392617.54,tubers,51845.2865306122,,TRUE,48031.2657142857,doi_10.21223_MXKUIK,56,TRUE,FALSE,Peru,Chugay,,,FALSE,,,,,,
MXKUIK_Chugay_2019-2020,209,2,potato,CIP396034.103,tubers,46311.5936170213,,TRUE,40295.1053191489,doi_10.21223_MXKUIK,57,TRUE,FALSE,Peru,Chugay,,,FALSE,,,,,,
MXKUIK_Chugay_2019-2020,210,2,potato,CIP393371.164,tubers,41693.8359310345,,TRUE,36468.6008275862,doi_10.21223_MXKUIK,58,TRUE,FALSE,Peru,Chugay,,,FALSE,,,,,,
MXKUIK_Chugay_2019-2020,211,2,potato,CIP393077.159,tubers,47193.2217567568,,TRUE,31326.2633108108,doi_10.21223_MXKUIK,59,TRUE,FALSE,Peru,Chugay,,,FALSE,,,,,,
MXKUIK_Chugay_2019-2020,212,2,potato,Unica,tubers,47068.4182,,TRUE,38988.499,doi_10.21223_MXKUIK,60,TRUE,FALSE,Peru,Chugay,,,FALSE,,,,,,
MXKUIK_Chugay_2019-2020,301,3,potato,CIP393077.159,tubers,38802.9692805755,,TRUE,32481.6895683453,doi_10.21223_MXKUIK,61,TRUE,FALSE,Peru,Chugay,,,FALSE,,,,,,
MXKUIK_Chugay_2019-2020,302,3,potato,Canchan,tubers,34748.5414,,TRUE,27677.501,doi_10.21223_MXKUIK,62,TRUE,FALSE,Peru,Chugay,,,FALSE,,,,,,
MXKUIK_Chugay_2019-2020,303,3,potato,CIP396036.201,tubers,50435.3930769231,,TRUE,41216.3710489511,doi_10.21223_MXKUIK,63,TRUE,FALSE,Peru,Chugay,,,FALSE,,,,,,
MXKUIK_Chugay_2019-2020,304,3,potato,CIP391046.14,tubers,22058.7363265306,,TRUE,10514.6340816327,doi_10.21223_MXKUIK,64,TRUE,FALSE,Peru,Chugay,,,FALSE,,,,,,
MXKUIK_Chugay_2019-2020,305,3,potato,CIP392650.12,tubers,40643.7377027027,,TRUE,36855.4872972973,doi_10.21223_MXKUIK,65,TRUE,FALSE,Peru,Chugay,,,FALSE,,,,,,
MXKUIK_Chugay_2019-2020,306,3,potato,CIP395123.6,tubers,51889.169352518,,TRUE,41205.8229496403,doi_10.21223_MXKUIK,66,TRUE,FALSE,Peru,Chugay,,,FALSE,,,,,,
MXKUIK_Chugay_2019-2020,307,3,potato,CIP391058.175,tubers,32236.0842553191,,TRUE,30947.6810638298,doi_10.21223_MXKUIK,67,TRUE,FALSE,Peru,Chugay,,,FALSE,,,,,,
MXKUIK_Chugay_2019-2020,308,3,potato,CIP396026.101,tubers,46990.4597959184,,TRUE,41836.3163265306,doi_10.21223_MXKUIK,68,TRUE,FALSE,Peru,Chugay,,,FALSE,,,,,,
MXKUIK_Chugay_2019-2020,309,3,potato,Unica,tubers,47532.858,,TRUE,40461.8176,doi_10.21223_MXKUIK,69,TRUE,FALSE,Peru,Chugay,,,FALSE,,,,,,
MXKUIK_Chugay_2019-2020,310,3,potato,CIP392617.54,tubers,46595.4244520548,,TRUE,42444.7810273973,doi_10.21223_MXKUIK,70,TRUE,FALSE,Peru,Chugay,,,FALSE,,,,,,
MXKUIK_Chugay_2019-2020,311,3,potato,CIP396034.103,tubers,48728.0841428571,,TRUE,44832.885,doi_10.21223_MXKUIK,71,TRUE,FALSE,Peru,Chugay,,,FALSE,,,,,,
MXKUIK_Chugay_2019-2020,312,3,potato,CIP393371.164,tubers,51186.4250675676,,TRUE,44839.6416891892,doi_10.21223_MXKUIK,72,TRUE,FALSE,Peru,Chugay,,,FALSE,,,,,,
MXKUIK_La_Paccha_2019-2020,101,1,potato,CIP391046.14,tubers,27335.3275510204,,TRUE,21995.2448979592,doi_10.21223_MXKUIK,73,TRUE,FALSE,Peru,La Paccha,,,FALSE,,,,,,
MXKUIK_La_Paccha_2019-2020,102,1,potato,CIP392617.54,tubers,25735.3748275862,,TRUE,18896.3627586207,doi_10.21223_MXKUIK,74,TRUE,FALSE,Peru,La Paccha,,,FALSE,,,,,,
MXKUIK_La_Paccha_2019-2020,103,1,potato,CIP396034.103,tubers,35849.9816326531,,TRUE,32958.8540816327,doi_10.21223_MXKUIK,75,TRUE,FALSE,Peru,La Paccha,,,FALSE,,,,,,
MXKUIK_La_Paccha_2019-2020,104,1,potato,CIP395123.6,tubers,40151.1136363636,,TRUE,35536.8347107438,doi_10.21223_MXKUIK,76,TRUE,FALSE,Peru,La Paccha,,,FALSE,,,,,,
MXKUIK_La_Paccha_2019-2020,105,1,potato,CIP393077.159,tubers,39594.5114583333,,TRUE,35427.8864583333,doi_10.21223_MXKUIK,77,TRUE,FALSE,Peru,La Paccha,,,FALSE,,,,,,
MXKUIK_La_Paccha_2019-2020,106,1,potato,CIP396036.201,tubers,34896.2027586207,,TRUE,24390.5606896552,doi_10.21223_MXKUIK,78,TRUE,FALSE,Peru,La Paccha,,,FALSE,,,,,,
MXKUIK_La_Paccha_2019-2020,107,1,potato,Canchan,tubers,34944.095,,TRUE,31499.685,doi_10.21223_MXKUIK,79,TRUE,FALSE,Peru,La Paccha,,,FALSE,,,,,,
MXKUIK_La_Paccha_2019-2020,108,1,potato,CIP391058.175,tubers,39552.7445652174,,TRUE,28429.6673913044,doi_10.21223_MXKUIK,80,TRUE,FALSE,Peru,La Paccha,,,FALSE,,,,,,
MXKUIK_La_Paccha_2019-2020,109,1,potato,CIP396026.101,tubers,33098.1030201342,,TRUE,36107.0214765101,doi_10.21223_MXKUIK,81,TRUE,FALSE,Peru,La Paccha,,,FALSE,,,,,,
MXKUIK_La_Paccha_2019-2020,110,1,potato,CIP393371.164,tubers,41074.4684782609,,TRUE,36581.7597826087,doi_10.21223_MXKUIK,82,TRUE,FALSE,Peru,La Paccha,,,FALSE,,,,,,
MXKUIK_La_Paccha_2019-2020,111,1,potato,CIP392650.12,tubers,27910.5190140845,,TRUE,20927.0207746479,doi_10.21223_MXKUIK,83,TRUE,FALSE,Peru,La Paccha,,,FALSE,,,,,,
MXKUIK_La_Paccha_2019-2020,112,1,potato,Unica,tubers,30877.469,,TRUE,26633.067,doi_10.21223_MXKUIK,84,TRUE,FALSE,Peru,La Paccha,,,FALSE,,,,,,
MXKUIK_La_Paccha_2019-2020,201,2,potato,CIP395123.6,tubers,47197.8751239669,,TRUE,34734.9143553719,doi_10.21223_MXKUIK,85,TRUE,FALSE,Peru,La Paccha,,,FALSE,,,,,,
MXKUIK_La_Paccha_2019-2020,202,2,potato,CIP392617.54,tubers,42785.2864285714,,TRUE,38154.3803571429,doi_10.21223_MXKUIK,86,TRUE,FALSE,Peru,La Paccha,,,FALSE,,,,,,
MXKUIK_La_Paccha_2019-2020,203,2,potato,CIP391046.14,tubers,42741.5817123288,,TRUE,38191.3989041096,doi_10.21223_MXKUIK,87,TRUE,FALSE,Peru,La Paccha,,,FALSE,,,,,,
MXKUIK_La_Paccha_2019-2020,204,2,potato,CIP392650.12,tubers,47505.193877551,,TRUE,36439.5448979592,doi_10.21223_MXKUIK,88,TRUE,FALSE,Peru,La Paccha,,,FALSE,,,,,,
MXKUIK_La_Paccha_2019-2020,205,2,potato,Canchan,tubers,43795.8583333333,,TRUE,30520.528125,doi_10.21223_MXKUIK,89,TRUE,FALSE,Peru,La Paccha,,,FALSE,,,,,,
MXKUIK_La_Paccha_2019-2020,206,2,potato,CIP391058.175,tubers,47040.5923913044,,TRUE,32246.0543478261,doi_10.21223_MXKUIK,90,TRUE,FALSE,Peru,La Paccha,,,FALSE,,,,,,
MXKUIK_La_Paccha_2019-2020,207,2,potato,CIP396026.101,tubers,43210.5990647482,,TRUE,37193.8726618705,doi_10.21223_MXKUIK,91,TRUE,FALSE,Peru,La Paccha,,,FALSE,,,,,,
MXKUIK_La_Paccha_2019-2020,208,2,potato,CIP396034.103,tubers,38822.4555944056,,TRUE,33985.6741258741,doi_10.21223_MXKUIK,92,TRUE,FALSE,Peru,La Paccha,,,FALSE,,,,,,
MXKUIK_La_Paccha_2019-2020,209,2,potato,CIP396036.201,tubers,37532.0320833333,,TRUE,24721.975,doi_10.21223_MXKUIK,93,TRUE,FALSE,Peru,La Paccha,,,FALSE,,,,,,
MXKUIK_La_Paccha_2019-2020,210,2,potato,CIP393077.159,tubers,51233.2839583333,,TRUE,40913.9427083333,doi_10.21223_MXKUIK,94,TRUE,FALSE,Peru,La Paccha,,,FALSE,,,,,,
MXKUIK_La_Paccha_2019-2020,211,2,potato,Unica,tubers,32699.673,,TRUE,30588.583,doi_10.21223_MXKUIK,95,TRUE,FALSE,Peru,La Paccha,,,FALSE,,,,,,
MXKUIK_La_Paccha_2019-2020,212,2,potato,CIP393371.164,tubers,37568.7853061225,,TRUE,33060.893877551,doi_10.21223_MXKUIK,96,TRUE,FALSE,Peru,La Paccha,,,FALSE,,,,,,
MXKUIK_La_Paccha_2019-2020,301,3,potato,Unica,tubers,31666.35,,TRUE,26021.962,doi_10.21223_MXKUIK,97,TRUE,FALSE,Peru,La Paccha,,,FALSE,,,,,,
MXKUIK_La_Paccha_2019-2020,302,3,potato,CIP391046.14,tubers,34687.153125,,TRUE,26921.0270833333,doi_10.21223_MXKUIK,98,TRUE,FALSE,Peru,La Paccha,,,FALSE,,,,,,
MXKUIK_La_Paccha_2019-2020,303,3,potato,CIP396034.103,tubers,40642.9502097902,,TRUE,36505.4624475525,doi_10.21223_MXKUIK,99,TRUE,FALSE,Peru,La Paccha,,,FALSE,,,,,,
MXKUIK_La_Paccha_2019-2020,304,3,potato,CIP395123.6,tubers,49005.1121848739,,TRUE,32310.6012605042,doi_10.21223_MXKUIK,100,TRUE,FALSE,Peru,La Paccha,,,FALSE,,,,,,
MXKUIK_La_Paccha_2019-2020,305,3,potato,CIP396026.101,tubers,42318.9241258741,,TRUE,37458.8328671329,doi_10.21223_MXKUIK,101,TRUE,FALSE,Peru,La Paccha,,,FALSE,,,,,,
