trial_id,plot_id,rep,crop,variety,yield_part,yield,yield_moisture,yield_isfresh,plant_density,dataset_id,record_id,on_farm,is_survey,country,location,longitude,latitude,geo_from_source,planting_date,harvest_date,N_fertilizer,P_fertilizer,K_fertilizer,irrigated
HDAREL_exp1,2_207,2,potato,CIP312888.039,,,,,33333.3333333333,doi_10.21223_HDAREL,38,FALSE,FALSE,Peru,Huancayo,,,FALSE,2019-11-21,2020-05-18,,,,
HDAREL_exp1,2_208,2,potato,CIP312903.094,,,,,33333.3333333333,doi_10.21223_HDAREL,39,FALSE,FALSE,Peru,Huancayo,,,FALSE,2019-11-21,2020-05-18,,,,
HDAREL_exp1,2_209,2,potato,CIP380389.1,,,,,33333.3333333333,doi_10.21223_HDAREL,40,FALSE,FALSE,Peru,Huancayo,,,FALSE,2019-11-21,2020-05-18,,,,
HDAREL_exp1,2_210,2,potato,CIP312903.066,,,,,33333.3333333333,doi_10.21223_HDAREL,41,FALSE,FALSE,Peru,Huancayo,,,FALSE,2019-11-21,2020-05-18,,,,
HDAREL_exp1,2_211,2,potato,CIP312905.156,,,,,33333.3333333333,doi_10.21223_HDAREL,42,FALSE,FALSE,Peru,Huancayo,,,FALSE,2019-11-21,2020-05-18,,,,
HDAREL_exp1,2_212,2,potato,CIP312917.096,,,,,33333.3333333333,doi_10.21223_HDAREL,43,FALSE,FALSE,Peru,Huancayo,,,FALSE,2019-11-21,2020-05-18,,,,
HDAREL_exp1,2_213,2,potato,CIP312917.029,,,,,33333.3333333333,doi_10.21223_HDAREL,44,FALSE,FALSE,Peru,Huancayo,,,FALSE,2019-11-21,2020-05-18,,,,
HDAREL_exp1,2_214,2,potato,CIP312896.133,,,,,33333.3333333333,doi_10.21223_HDAREL,45,FALSE,FALSE,Peru,Huancayo,,,FALSE,2019-11-21,2020-05-18,,,,
HDAREL_exp1,2_215,2,potato,CIP312898.077,,,,,33333.3333333333,doi_10.21223_HDAREL,46,FALSE,FALSE,Peru,Huancayo,,,FALSE,2019-11-21,2020-05-18,,,,
HDAREL_exp1,2_216,2,potato,CIP312888.048,,,,,33333.3333333333,doi_10.21223_HDAREL,47,FALSE,FALSE,Peru,Huancayo,,,FALSE,2019-11-21,2020-05-18,,,,
HDAREL_exp1,2_217,2,potato,CIP312896.012,,,,,33333.3333333333,doi_10.21223_HDAREL,48,FALSE,FALSE,Peru,Huancayo,,,FALSE,2019-11-21,2020-05-18,,,,
HDAREL_exp1,2_218,2,potato,CIP312895.102,,,,,33333.3333333333,doi_10.21223_HDAREL,49,FALSE,FALSE,Peru,Huancayo,,,FALSE,2019-11-21,2020-05-18,,,,
HDAREL_exp1,2_219,2,potato,CIP312890.040,,,,,33333.3333333333,doi_10.21223_HDAREL,50,FALSE,FALSE,Peru,Huancayo,,,FALSE,2019-11-21,2020-05-18,,,,
