trial_id,plot_id,rep,crop,variety,yield_part,yield,yield_moisture,yield_isfresh,yield_marketable,dataset_id,record_id,on_farm,is_survey,country,location,longitude,latitude,geo_from_source,elevation,planting_date,harvest_date,N_fertilizer,P_fertilizer,K_fertilizer,irrigated
RWIMFO_Yanamayo_Mother,31,2,potato,CIP399075.22,tubers,10000,,TRUE,5000,doi_10.21223_P3_RWIMFO,31,TRUE,FALSE,Peru,Yanamayo,-72.26289,-13.25588,TRUE,2906,2009-09-19,2010-05-13,,,,
RWIMFO_Yanamayo_Mother,32,2,potato,Huayro,tubers,10000,,TRUE,6666.667,doi_10.21223_P3_RWIMFO,32,TRUE,FALSE,Peru,Yanamayo,-72.26289,-13.25588,TRUE,2906,2009-09-19,2010-05-13,,,,
RWIMFO_Yanamayo_Mother,33,3,potato,CIP399054.1,tubers,23333.33,,TRUE,11666.667,doi_10.21223_P3_RWIMFO,33,TRUE,FALSE,Peru,Yanamayo,-72.26289,-13.25588,TRUE,2906,2009-09-19,2010-05-13,,,,
RWIMFO_Yanamayo_Mother,34,3,potato,CIP399090.48,tubers,18333.33,,TRUE,10000,doi_10.21223_P3_RWIMFO,34,TRUE,FALSE,Peru,Yanamayo,-72.26289,-13.25588,TRUE,2906,2009-09-19,2010-05-13,,,,
RWIMFO_Yanamayo_Mother,35,3,potato,CIP399052.3,tubers,21666.67,,TRUE,13333.333,doi_10.21223_P3_RWIMFO,35,TRUE,FALSE,Peru,Yanamayo,-72.26289,-13.25588,TRUE,2906,2009-09-19,2010-05-13,,,,
RWIMFO_Yanamayo_Mother,36,3,potato,CIP399053.11,tubers,31666.67,,TRUE,15000,doi_10.21223_P3_RWIMFO,36,TRUE,FALSE,Peru,Yanamayo,-72.26289,-13.25588,TRUE,2906,2009-09-19,2010-05-13,,,,
RWIMFO_Yanamayo_Mother,37,3,potato,CIP399053.12,tubers,20000,,TRUE,10000,doi_10.21223_P3_RWIMFO,37,TRUE,FALSE,Peru,Yanamayo,-72.26289,-13.25588,TRUE,2906,2009-09-19,2010-05-13,,,,
RWIMFO_Yanamayo_Mother,38,3,potato,CIP399058.12,tubers,18333.33,,TRUE,11666.667,doi_10.21223_P3_RWIMFO,38,TRUE,FALSE,Peru,Yanamayo,-72.26289,-13.25588,TRUE,2906,2009-09-19,2010-05-13,,,,
RWIMFO_Yanamayo_Mother,39,3,potato,CIP399062.108,tubers,18333.33,,TRUE,10000,doi_10.21223_P3_RWIMFO,39,TRUE,FALSE,Peru,Yanamayo,-72.26289,-13.25588,TRUE,2906,2009-09-19,2010-05-13,,,,
RWIMFO_Yanamayo_Mother,40,3,potato,CIP399062.119,tubers,21666.67,,TRUE,15000,doi_10.21223_P3_RWIMFO,40,TRUE,FALSE,Peru,Yanamayo,-72.26289,-13.25588,TRUE,2906,2009-09-19,2010-05-13,,,,
RWIMFO_Yanamayo_Mother,41,3,potato,CIP399048.39,tubers,20000,,TRUE,10000,doi_10.21223_P3_RWIMFO,41,TRUE,FALSE,Peru,Yanamayo,-72.26289,-13.25588,TRUE,2906,2009-09-19,2010-05-13,,,,
RWIMFO_Yanamayo_Mother,42,3,potato,CIP399001.16,tubers,26666.67,,TRUE,13333.333,doi_10.21223_P3_RWIMFO,42,TRUE,FALSE,Peru,Yanamayo,-72.26289,-13.25588,TRUE,2906,2009-09-19,2010-05-13,,,,
RWIMFO_Yanamayo_Mother,43,3,potato,CIP399072.28,tubers,21666.67,,TRUE,10000,doi_10.21223_P3_RWIMFO,43,TRUE,FALSE,Peru,Yanamayo,-72.26289,-13.25588,TRUE,2906,2009-09-19,2010-05-13,,,,
RWIMFO_Yanamayo_Mother,44,3,potato,CIP399049.14,tubers,30000,,TRUE,16666.667,doi_10.21223_P3_RWIMFO,44,TRUE,FALSE,Peru,Yanamayo,-72.26289,-13.25588,TRUE,2906,2009-09-19,2010-05-13,,,,
RWIMFO_Yanamayo_Mother,45,3,potato,CIP399049.16,tubers,38333.33,,TRUE,20000,doi_10.21223_P3_RWIMFO,45,TRUE,FALSE,Peru,Yanamayo,-72.26289,-13.25588,TRUE,2906,2009-09-19,2010-05-13,,,,
RWIMFO_Yanamayo_Mother,46,3,potato,CIP399049.22,tubers,20000,,TRUE,10000,doi_10.21223_P3_RWIMFO,46,TRUE,FALSE,Peru,Yanamayo,-72.26289,-13.25588,TRUE,2906,2009-09-19,2010-05-13,,,,
RWIMFO_Yanamayo_Mother,47,3,potato,CIP399075.22,tubers,15000,,TRUE,8333.333,doi_10.21223_P3_RWIMFO,47,TRUE,FALSE,Peru,Yanamayo,-72.26289,-13.25588,TRUE,2906,2009-09-19,2010-05-13,,,,
RWIMFO_Yanamayo_Mother,48,3,potato,Huayro,tubers,11666.67,,TRUE,6666.667,doi_10.21223_P3_RWIMFO,48,TRUE,FALSE,Peru,Yanamayo,-72.26289,-13.25588,TRUE,2906,2009-09-19,2010-05-13,,,,
RWIMFO_Patacancha_Mother,1,1,potato,CIP399054.1,tubers,15000,,TRUE,8333,doi_10.21223_P3_RWIMFO,49,TRUE,FALSE,Peru,Patacancha,-72.18757,-13.14994,TRUE,4121,2009-11-10,2010-05-12,,,,
RWIMFO_Patacancha_Mother,2,1,potato,CIP399090.48,tubers,16667,,TRUE,10000,doi_10.21223_P3_RWIMFO,50,TRUE,FALSE,Peru,Patacancha,-72.18757,-13.14994,TRUE,4121,2009-11-10,2010-05-12,,,,
RWIMFO_Patacancha_Mother,3,1,potato,CIP399052.3,tubers,11667,,TRUE,6667,doi_10.21223_P3_RWIMFO,51,TRUE,FALSE,Peru,Patacancha,-72.18757,-13.14994,TRUE,4121,2009-11-10,2010-05-12,,,,
RWIMFO_Patacancha_Mother,4,1,potato,CIP399053.11,tubers,30000,,TRUE,16667,doi_10.21223_P3_RWIMFO,52,TRUE,FALSE,Peru,Patacancha,-72.18757,-13.14994,TRUE,4121,2009-11-10,2010-05-12,,,,
RWIMFO_Patacancha_Mother,5,1,potato,CIP399053.12,tubers,18333,,TRUE,10000,doi_10.21223_P3_RWIMFO,53,TRUE,FALSE,Peru,Patacancha,-72.18757,-13.14994,TRUE,4121,2009-11-10,2010-05-12,,,,
RWIMFO_Patacancha_Mother,6,1,potato,CIP399058.12,tubers,21667,,TRUE,8333,doi_10.21223_P3_RWIMFO,54,TRUE,FALSE,Peru,Patacancha,-72.18757,-13.14994,TRUE,4121,2009-11-10,2010-05-12,,,,
RWIMFO_Patacancha_Mother,7,1,potato,CIP399062.108,tubers,18333,,TRUE,6667,doi_10.21223_P3_RWIMFO,55,TRUE,FALSE,Peru,Patacancha,-72.18757,-13.14994,TRUE,4121,2009-11-10,2010-05-12,,,,
RWIMFO_Patacancha_Mother,8,1,potato,CIP399062.119,tubers,18333,,TRUE,8333,doi_10.21223_P3_RWIMFO,56,TRUE,FALSE,Peru,Patacancha,-72.18757,-13.14994,TRUE,4121,2009-11-10,2010-05-12,,,,
RWIMFO_Patacancha_Mother,9,1,potato,CIP399048.39,tubers,36667,,TRUE,16667,doi_10.21223_P3_RWIMFO,57,TRUE,FALSE,Peru,Patacancha,-72.18757,-13.14994,TRUE,4121,2009-11-10,2010-05-12,,,,
RWIMFO_Patacancha_Mother,10,1,potato,CIP399001.16,tubers,41667,,TRUE,21667,doi_10.21223_P3_RWIMFO,58,TRUE,FALSE,Peru,Patacancha,-72.18757,-13.14994,TRUE,4121,2009-11-10,2010-05-12,,,,
