trial_id,plot_id,rep,crop,variety,yield_part,yield,yield_moisture,yield_isfresh,flesh_color,dataset_id,record_id,on_farm,is_survey,country,location,longitude,latitude,geo_from_source,planting_date,harvest_date,N_fertilizer,P_fertilizer,K_fertilizer,irrigated
ZTPO9T_Yanac,306,3,potato,CIP393371.164,,,,,,doi_10.21223_ZTPO9T,116,FALSE,FALSE,Peru,Yanac,,,FALSE,,,,,,
ZTPO9T_Yanac,307,3,potato,CIP396026.101,,,,,,doi_10.21223_ZTPO9T,117,FALSE,FALSE,Peru,Yanac,,,FALSE,,,,,,
ZTPO9T_Yanac,308,3,potato,CIP396034.103,,,,,,doi_10.21223_ZTPO9T,118,FALSE,FALSE,Peru,Yanac,,,FALSE,,,,,,
ZTPO9T_Yanac,309,3,potato,CIP393077.159,,,,,,doi_10.21223_ZTPO9T,119,FALSE,FALSE,Peru,Yanac,,,FALSE,,,,,,
ZTPO9T_Yanac,310,3,potato,CIP391058.175,,,,,,doi_10.21223_ZTPO9T,120,FALSE,FALSE,Peru,Yanac,,,FALSE,,,,,,
ZTPO9T_Chota,101,1,potato,Canchan,,,,,,doi_10.21223_ZTPO9T,121,FALSE,FALSE,Peru,Chota,,,FALSE,,,,,,
ZTPO9T_Chota,102,1,potato,CIP396036.201,,,,,,doi_10.21223_ZTPO9T,122,FALSE,FALSE,Peru,Chota,,,FALSE,,,,,,
ZTPO9T_Chota,103,1,potato,CIP391058.175,,,,,,doi_10.21223_ZTPO9T,123,FALSE,FALSE,Peru,Chota,,,FALSE,,,,,,
ZTPO9T_Chota,104,1,potato,CIP392650.12,,,,,,doi_10.21223_ZTPO9T,124,FALSE,FALSE,Peru,Chota,,,FALSE,,,,,,
ZTPO9T_Chota,105,1,potato,CIP393371.164,,,,,,doi_10.21223_ZTPO9T,125,FALSE,FALSE,Peru,Chota,,,FALSE,,,,,,
ZTPO9T_Chota,106,1,potato,Unica,,,,,,doi_10.21223_ZTPO9T,126,FALSE,FALSE,Peru,Chota,,,FALSE,,,,,,
ZTPO9T_Chota,107,1,potato,CIP396026.101,,,,,,doi_10.21223_ZTPO9T,127,FALSE,FALSE,Peru,Chota,,,FALSE,,,,,,
ZTPO9T_Chota,108,1,potato,CIP396034.103,,,,,,doi_10.21223_ZTPO9T,128,FALSE,FALSE,Peru,Chota,,,FALSE,,,,,,
ZTPO9T_Chota,109,1,potato,CIP395123.6,,,,,,doi_10.21223_ZTPO9T,129,FALSE,FALSE,Peru,Chota,,,FALSE,,,,,,
ZTPO9T_Chota,110,1,potato,CIP393077.159,,,,,,doi_10.21223_ZTPO9T,130,FALSE,FALSE,Peru,Chota,,,FALSE,,,,,,
ZTPO9T_Chota,201,2,potato,CIP392650.12,,,,,,doi_10.21223_ZTPO9T,131,FALSE,FALSE,Peru,Chota,,,FALSE,,,,,,
ZTPO9T_Chota,202,2,potato,CIP391058.175,,,,,,doi_10.21223_ZTPO9T,132,FALSE,FALSE,Peru,Chota,,,FALSE,,,,,,
ZTPO9T_Chota,203,2,potato,CIP393077.159,,,,,,doi_10.21223_ZTPO9T,133,FALSE,FALSE,Peru,Chota,,,FALSE,,,,,,
ZTPO9T_Chota,204,2,potato,CIP393371.164,,,,,,doi_10.21223_ZTPO9T,134,FALSE,FALSE,Peru,Chota,,,FALSE,,,,,,
ZTPO9T_Chota,205,2,potato,CIP396026.101,,,,,,doi_10.21223_ZTPO9T,135,FALSE,FALSE,Peru,Chota,,,FALSE,,,,,,
ZTPO9T_Chota,206,2,potato,CIP396034.103,,,,,,doi_10.21223_ZTPO9T,136,FALSE,FALSE,Peru,Chota,,,FALSE,,,,,,
ZTPO9T_Chota,207,2,potato,CIP396036.201,,,,,,doi_10.21223_ZTPO9T,137,FALSE,FALSE,Peru,Chota,,,FALSE,,,,,,
ZTPO9T_Chota,208,2,potato,Unica,,,,,,doi_10.21223_ZTPO9T,138,FALSE,FALSE,Peru,Chota,,,FALSE,,,,,,
ZTPO9T_Chota,209,2,potato,Canchan,,,,,,doi_10.21223_ZTPO9T,139,FALSE,FALSE,Peru,Chota,,,FALSE,,,,,,
ZTPO9T_Chota,210,2,potato,CIP395123.6,,,,,,doi_10.21223_ZTPO9T,140,FALSE,FALSE,Peru,Chota,,,FALSE,,,,,,
ZTPO9T_Chota,301,3,potato,CIP393371.164,,,,,,doi_10.21223_ZTPO9T,141,FALSE,FALSE,Peru,Chota,,,FALSE,,,,,,
ZTPO9T_Chota,302,3,potato,CIP393077.159,,,,,,doi_10.21223_ZTPO9T,142,FALSE,FALSE,Peru,Chota,,,FALSE,,,,,,
ZTPO9T_Chota,303,3,potato,CIP396036.201,,,,,,doi_10.21223_ZTPO9T,143,FALSE,FALSE,Peru,Chota,,,FALSE,,,,,,
ZTPO9T_Chota,304,3,potato,Unica,,,,,,doi_10.21223_ZTPO9T,144,FALSE,FALSE,Peru,Chota,,,FALSE,,,,,,
ZTPO9T_Chota,305,3,potato,Canchan,,,,,,doi_10.21223_ZTPO9T,145,FALSE,FALSE,Peru,Chota,,,FALSE,,,,,,
ZTPO9T_Chota,306,3,potato,CIP391058.175,,,,,,doi_10.21223_ZTPO9T,146,FALSE,FALSE,Peru,Chota,,,FALSE,,,,,,
ZTPO9T_Chota,307,3,potato,CIP395123.6,,,,,,doi_10.21223_ZTPO9T,147,FALSE,FALSE,Peru,Chota,,,FALSE,,,,,,
ZTPO9T_Chota,308,3,potato,CIP392650.12,,,,,,doi_10.21223_ZTPO9T,148,FALSE,FALSE,Peru,Chota,,,FALSE,,,,,,
ZTPO9T_Chota,309,3,potato,CIP396026.101,,,,,,doi_10.21223_ZTPO9T,149,FALSE,FALSE,Peru,Chota,,,FALSE,,,,,,
ZTPO9T_Chota,310,3,potato,CIP396034.103,,,,,,doi_10.21223_ZTPO9T,150,FALSE,FALSE,Peru,Chota,,,FALSE,,,,,,
ZTPO9T_Huanuco,101,1,potato,Unica,,,,,,doi_10.21223_ZTPO9T,151,FALSE,FALSE,Peru,Huanuco,,,FALSE,,,,,,
ZTPO9T_Huanuco,102,1,potato,CIP393371.164,,,,,,doi_10.21223_ZTPO9T,152,FALSE,FALSE,Peru,Huanuco,,,FALSE,,,,,,
ZTPO9T_Huanuco,103,1,potato,CIP395123.6,,,,,,doi_10.21223_ZTPO9T,153,FALSE,FALSE,Peru,Huanuco,,,FALSE,,,,,,
ZTPO9T_Huanuco,104,1,potato,Canchan,,,,,,doi_10.21223_ZTPO9T,154,FALSE,FALSE,Peru,Huanuco,,,FALSE,,,,,,
ZTPO9T_Huanuco,105,1,potato,CIP391058.175,,,,,,doi_10.21223_ZTPO9T,155,FALSE,FALSE,Peru,Huanuco,,,FALSE,,,,,,
ZTPO9T_Huanuco,106,1,potato,CIP392650.12,,,,,,doi_10.21223_ZTPO9T,156,FALSE,FALSE,Peru,Huanuco,,,FALSE,,,,,,
ZTPO9T_Huanuco,107,1,potato,CIP396036.201,,,,,,doi_10.21223_ZTPO9T,157,FALSE,FALSE,Peru,Huanuco,,,FALSE,,,,,,
ZTPO9T_Huanuco,108,1,potato,CIP393077.159,,,,,,doi_10.21223_ZTPO9T,158,FALSE,FALSE,Peru,Huanuco,,,FALSE,,,,,,
ZTPO9T_Huanuco,109,1,potato,CIP396026.101,,,,,,doi_10.21223_ZTPO9T,159,FALSE,FALSE,Peru,Huanuco,,,FALSE,,,,,,
ZTPO9T_Huanuco,110,1,potato,CIP396034.103,,,,,,doi_10.21223_ZTPO9T,160,FALSE,FALSE,Peru,Huanuco,,,FALSE,,,,,,
ZTPO9T_Huanuco,201,2,potato,CIP393371.164,,,,,,doi_10.21223_ZTPO9T,161,FALSE,FALSE,Peru,Huanuco,,,FALSE,,,,,,
ZTPO9T_Huanuco,202,2,potato,CIP392650.12,,,,,,doi_10.21223_ZTPO9T,162,FALSE,FALSE,Peru,Huanuco,,,FALSE,,,,,,
ZTPO9T_Huanuco,203,2,potato,CIP396026.101,,,,,,doi_10.21223_ZTPO9T,163,FALSE,FALSE,Peru,Huanuco,,,FALSE,,,,,,
ZTPO9T_Huanuco,204,2,potato,CIP395123.6,,,,,,doi_10.21223_ZTPO9T,164,FALSE,FALSE,Peru,Huanuco,,,FALSE,,,,,,
ZTPO9T_Huanuco,205,2,potato,CIP396034.103,,,,,,doi_10.21223_ZTPO9T,165,FALSE,FALSE,Peru,Huanuco,,,FALSE,,,,,,
